NOTE,"Replace all commas with ""/"".",Otherwise reading .csv file into Python causes hickups.,,,,,,,,,,,,
Run,Title,Duration,uA,RB_No,Cycle,Instr,Bin,VNb,empty_can,D2O_DEPOSITION,D2O_Isothermal,C2H4_Deposition,C2H4_Isothermal,note
62555,Empty Instrument pos 1 Beam 30x30 mm,1h 0m 49s,40.0086,1910637,18_4,X,,,,,,,,
62557,Empty Instrument pos 1 Beam 30x30 mm,1h 0m 37s,40.0097,1910637,18_4,X,,,,,,,,
62796,3mm VNb plate on candlestick,1h 0m 24s,40.0098,1910637,18_4,,,X,,,,,,
62797,Empty bin,1h 0m 42s,40.1299,1910637,18_4,,X,,,,,,,
62800,Vanadium deposition plate on CCR at RT (could be warming up overnight),30m 16s,20.0113,1910637,18_4,,,,X,,,,,
62801,Vanadium deposition plate on CCR at RT (could be warming up overnight),30m 15s,20.0055,1910637,18_4,,,,X,,,,,
62802,Vanadium deposition plate on CCR at RT (could be warming up overnight),30m 17s,20.0097,1910637,18_4,,,,X,,,,,
62917,D2O growth on vanadium plate at 30 K_ flow est 1.1 (+/- 0.1) 10 ^ -5 mBar equib P,15m 3s,9.9464,1910637,18_4,,,,,X,,,,
62918,D2O growth on vanadium plate at 30 K_ flow est 1.1 (+/- 0.1) 10 ^ -5 mBar equib P,9m 39s,6.3503,1910637,18_4,,,,,X,,,,
62919,Isothermal scan at 30 K (15 min) -- pure D2O,15m 3s,9.9469,1910637,18_4,,,,,,X,,,
62920,Isothermal scan at 30 K (15 min) -- pure D2O,14m 17s,9.4397,1910637,18_4,,,,,,X,,,
62921,C2H4 growth on D2O on vanadium plate at 30 K_ flow est 2.9 (+/- 0.1) 10 ^ -5 mBar equib P,14m 54s,9.7383,1910637,18_4,,,,,,,X,,
62922,C2H4 growth on D2O on vanadium plate at 30 K_ flow est 2.9 (+/- 0.1) 10 ^ -5 mBar equib P,11m 58s,7.9098,1910637,18_4,,,,,,,X,,
62923,Isothermal scan at 30 K (15 min) -- C2H4 on D2O,15m 3s,9.9493,1910637,18_4,,,,,,,,X,
62924,Isothermal scan at 30 K (15 min) -- C2H4 on D2O,15m 3s,9.952,1910637,18_4,,,,,,,,X,
62925,Isothermal scan at 30 K (15 min) -- C2H4 on D2O,15m 3s,9.9289,1910637,18_4,,,,,,,,X,
62926,Isothermal scan at 30 K (15 min) -- C2H4 on D2O,15m 3s,9.935,1910637,18_4,,,,,,,,X,
